vehicle_id,frame_id,timestamp_sec,smooth_abnormal_score,speed_var_score,dir_change_score,jerk_score,evidence_path
9,179,5.97,0.69,0.995,0.206,0.345,evidence/vehicle_9_event_frame_179.jpg
11,223,7.43,0.772,1.0,0.735,0.793,evidence/vehicle_11_event_frame_223.jpg
16,228,7.6,0.705,0.969,0.0,0.345,evidence/vehicle_16_event_frame_228.jpg
12,239,7.97,0.638,0.972,0.23,0.617,evidence/vehicle_12_event_frame_239.jpg
11,245,8.17,0.658,0.99,0.978,0.716,evidence/vehicle_11_event_frame_245.jpg
20,261,8.7,0.687,1.0,0.635,0.178,evidence/vehicle_20_event_frame_261.jpg
12,276,9.2,0.615,0.964,0.995,0.0,evidence/vehicle_12_event_frame_276.jpg
21,282,9.4,0.607,0.922,0.559,0.0,evidence/vehicle_21_event_frame_282.jpg
11,284,9.47,0.63,1.0,0.836,0.998,evidence/vehicle_11_event_frame_284.jpg
29,285,9.5,0.66,0.982,0.0,0.793,evidence/vehicle_29_event_frame_285.jpg
11,295,9.83,0.601,0.638,0.978,0.178,evidence/vehicle_11_event_frame_295.jpg
31,295,9.83,0.639,0.846,0.948,0.345,evidence/vehicle_31_event_frame_295.jpg
12,296,9.87,0.618,0.77,0.905,0.345,evidence/vehicle_12_event_frame_296.jpg
29,296,9.87,0.611,0.817,0.905,0.493,evidence/vehicle_29_event_frame_296.jpg
11,298,9.93,0.616,0.643,0.635,0.345,evidence/vehicle_11_event_frame_298.jpg
21,300,10.0,0.637,0.916,0.635,0.178,evidence/vehicle_21_event_frame_300.jpg
21,304,10.13,0.612,0.896,0.635,0.178,evidence/vehicle_21_event_frame_304.jpg
31,316,10.53,0.7,0.988,0.995,0.617,evidence/vehicle_31_event_frame_316.jpg
29,320,10.67,0.673,0.994,0.991,1.0,evidence/vehicle_29_event_frame_320.jpg
12,322,10.73,0.637,0.748,0.905,0.345,evidence/vehicle_12_event_frame_322.jpg
12,325,10.83,0.615,0.749,0.978,0.493,evidence/vehicle_12_event_frame_325.jpg
29,353,11.77,0.657,0.84,0.872,0.178,evidence/vehicle_29_event_frame_353.jpg
29,373,12.43,0.624,1.0,0.635,0.493,evidence/vehicle_29_event_frame_373.jpg
35,397,13.23,0.604,1.0,0.899,0.178,evidence/vehicle_35_event_frame_397.jpg
35,400,13.33,0.618,1.0,0.905,0.345,evidence/vehicle_35_event_frame_400.jpg
